date,symbol
04-02-2026,MOBIKWIK
13-05-2025,MOL
15-11-2021,MONTECARLO
08-09-2025,MOSCHIP
08-06-2022,MRPL
12-10-2021,MSTCLTD
26-05-2025,MUFTI
01-04-2021,MUKANDLTD
26-09-2024,MUKTAARTS
18-02-2020,MUTHOOTFIN
19-06-2020,MUTHOOTFIN
13-03-2025,NACLIND
21-07-2025,NACLIND
27-06-2022,NAZARA
02-08-2022,NAZARA
04-04-2022,NCC
11-02-2022,NDTV
25-05-2023,NDTV
16-06-2021,NEWGEN
02-06-2021,NH
18-10-2019,NIACL
13-09-2023,NIITLTD
14-09-2023,NIITLTD
27-08-2024,NIITLTD
01-06-2023,NRBBEARING
30-05-2023,NUCLEUS
15-02-2024,NUVAMA
16-05-2024,OBEROIRLTY
03-03-2022,OIL
14-02-2023,OIL
28-11-2024,OLAELEC
07-12-2020,OLECTRA
27-02-2023,OLECTRA
28-07-2025,OMAXAUTO
24-06-2024,OMAXE
13-06-2024,OMINFRAL
09-04-2025,ONEPOINT
09-08-2023,ONMOBILE
15-12-2023,ONWARDTEC
12-06-2020,PANACEABIO
07-04-2021,PANACEABIO
30-10-2024,PARADEEP
05-06-2023,PARAS
15-03-2022,PATANJALI
18-08-2023,PATELENG
12-07-2024,PCBL
22-09-2023,PFOCUS
10-09-2025,PFOCUS
31-05-2022,PGEL
09-06-2022,PNBHOUSING
27-06-2025,POCL
24-10-2025,POKARNA
05-02-2026,POKARNA
11-02-2021,POLYPLEX
28-07-2021,POONAWALLA
31-10-2023,PPLPHARMA
03-01-2020,PRAKASH
11-10-2023,PRAKASH
18-04-2023,PRECAM
17-07-2023,PRECAM
19-01-2022,PRECWIRE
13-07-2023,PREMEXPLN
14-07-2023,PREMEXPLN
20-03-2025,PREMEXPLN
14-08-2025,PREMEXPLN
10-08-2020,PRINCEPIPE
29-05-2023,PRINCEPIPE
12-01-2023,PTC
06-06-2025,PURVA
08-03-2021,QUICKHEAL
18-05-2021,QUICKHEAL
19-07-2022,QUICKHEAL
17-02-2026,RACLGEAR
06-09-2021,RAILTEL
02-01-2024,RAJSREESUG
22-07-2022,RAJTV
15-07-2025,RALLIS
12-04-2024,RAMCOSYS
23-05-2025,RAMCOSYS
08-12-2021,RAMKY
11-11-2019,RAYMOND
08-06-2020,RAYMOND
01-03-2021,RCF
20-06-2024,RCF
17-08-2020,REDINGTON
31-05-2021,REDINGTON
05-07-2021,REDINGTON
06-02-2023,REFEX
10-04-2023,REFEX
23-05-2023,REFEX
11-01-2024,REFEX
10-06-2024,REFEX
10-07-2025,RELIGARE
29-05-2025,RELTD
14-02-2022,RHIM
22-06-2020,RIIL
29-04-2024,ROSSELLIND
13-11-2023,ROTO
19-07-2021,RPPINFRA
05-06-2023,RPPINFRA
06-05-2025,RRKABEL
30-12-2020,RUPA
10-08-2022,RUSHIL
09-07-2024,RVNL
16-06-2021,SAGCEM
18-02-2025,SANDUMA
07-09-2022,SANGHIIND
17-11-2022,SANGHIIND
27-07-2021,SARDAEN
05-08-2025,SARDAEN
18-05-2021,SAREGAMA
05-04-2024,SCILAL
16-04-2024,SENCO
08-01-2026,SENCO
10-01-2024,SERVOTECH
27-02-2024,SERVOTECH
02-02-2026,SERVOTECH
03-02-2026,SERVOTECH
13-05-2025,SETL
30-01-2024,SHAKTIPUMP
09-09-2019,SHANKARA
06-01-2020,SHANKARA
10-02-2020,SHANKARA
25-01-2022,SHARDACROP
03-08-2020,SHILPAMED
22-04-2021,SHILPAMED
04-12-2024,SHIVALIK
13-11-2020,SHK
25-09-2024,SHK
02-06-2020,SHOPERSTOP
16-09-2025,SHREEPUSHK
26-08-2025,SHREERAMA
05-02-2020,SHRIRAMFIN
20-06-2023,SHRIRAMFIN
03-06-2025,SIGIND
18-08-2023,SIGMAADV
09-06-2025,SILVER
26-09-2023,SIMPLEXINF
02-12-2021,SIRCA
25-07-2023,SJVN
12-09-2023,SJVN
20-06-2023,SKIPPER
13-05-2024,SMARTLINK
23-06-2020,SMSPHARMA
22-04-2021,SNOWMAN
07-04-2021,SOBHA
08-07-2021,SOBHA
18-06-2021,SOMANYCERA
17-05-2024,SOMANYCERA
10-08-2021,SONACOMS
24-06-2022,SPANDANA
30-08-2019,SPARC
20-06-2024,SPIC
19-08-2025,SPIC
06-11-2020,SRF
22-07-2025,STALLION
23-06-2020,STAR
12-09-2019,STARPAPER
