date,symbol
2025-03-05 09:15 am,  INDIGO
2025-03-05 09:15 am,  NTPC
2025-03-05 09:15 am,  PFC
2025-03-05 09:15 am,  PGEL
2025-03-05 09:15 am,  SAIL
2025-03-05 09:15 am,  UNIONBANK
2025-03-06 09:15 am,  BEL
2025-03-06 09:15 am,  BHEL
2025-03-06 09:15 am,  BPCL
2025-03-06 09:15 am,  CGPOWER
2025-03-06 09:15 am,  HINDALCO
2025-03-06 09:15 am,  HINDPETRO
2025-03-06 09:15 am,  HINDZINC
2025-03-06 09:15 am,  LAURUSLABS
2025-03-06 09:15 am,  LTF
2025-03-06 09:15 am,  NATIONALUM
2025-03-06 09:15 am,  NHPC
2025-03-06 09:15 am,  RBLBANK
2025-03-06 09:15 am,  RECLTD
2025-03-06 09:15 am,  SHRIRAMFIN
2025-03-06 09:15 am,  SIEMENS
2025-03-06 09:15 am,  TATASTEEL
2025-03-06 09:15 am,  VEDL
2025-03-07 09:15 am,  ADANIPORTS
2025-03-07 09:15 am,  AMBER
2025-03-07 09:15 am,  BLUESTARCO
2025-03-07 09:15 am,  CROMPTON
2025-03-07 09:15 am,  HDFCLIFE
2025-03-07 09:15 am,  HINDALCO
2025-03-07 09:15 am,  HINDZINC
2025-03-07 09:15 am,  VEDL
2025-03-10 09:15 am,  BAJAJFINSV
2025-03-10 09:15 am,  BAJFINANCE
2025-03-10 09:15 am,  BEL
2025-03-10 09:15 am,  HAL
2025-03-10 09:15 am,  HINDALCO
2025-03-10 09:15 am,  MANAPPURAM
2025-03-10 09:15 am,  SBIN
2025-03-10 09:15 am,  SRF
2025-03-10 09:15 am,  TATASTEEL
2025-03-12 09:15 am,  ABCAPITAL
2025-03-12 09:15 am,  AMBER
2025-03-12 09:15 am,  BPCL
2025-03-12 09:15 am,  COALINDIA
2025-03-12 09:15 am,  HDFCBANK
2025-03-12 09:15 am,  HINDPETRO
2025-03-12 09:15 am,  HUDCO
2025-03-12 09:15 am,  KOTAKBANK
2025-03-12 09:15 am,  MAZDOCK
2025-03-12 09:15 am,  NATIONALUM
2025-03-12 09:15 am,  NMDC
2025-03-12 09:15 am,  SHRIRAMFIN
2025-03-12 09:15 am,  TATAPOWER
2025-03-12 09:15 am,  TMPV
2025-03-12 09:15 am,  VOLTAS
2025-03-13 09:15 am,  TATASTEEL
2025-03-17 09:15 am,  BAJFINANCE
2025-03-17 09:15 am,  CAMS
2025-03-17 09:15 am,  CIPLA
2025-03-17 09:15 am,  COALINDIA
2025-03-17 09:15 am,  GMRAIRPORT
2025-03-17 09:15 am,  HINDZINC
2025-03-17 09:15 am,  ICICIBANK
2025-03-17 09:15 am,  LICHSGFIN
2025-03-17 09:15 am,  NYKAA
2025-03-17 09:15 am,  OIL
2025-03-17 09:15 am,  RBLBANK
2025-03-17 09:15 am,  RECLTD
2025-03-17 09:15 am,  SUNPHARMA
2025-03-17 09:15 am,  SUZLON
2025-03-18 09:15 am,  ADANIENSOL
2025-03-18 09:15 am,  AXISBANK
2025-03-18 09:15 am,  BHEL
2025-03-18 09:15 am,  BLUESTARCO
2025-03-18 09:15 am,  CHOLAFIN
2025-03-18 09:15 am,  CIPLA
2025-03-18 09:15 am,  COALINDIA
2025-03-18 09:15 am,  CROMPTON
2025-03-18 09:15 am,  DLF
2025-03-18 09:15 am,  GODREJCP
2025-03-18 09:15 am,  HDFCLIFE
2025-03-18 09:15 am,  HINDALCO
2025-03-18 09:15 am,  ICICIBANK
2025-03-18 09:15 am,  INDHOTEL
2025-03-18 09:15 am,  RECLTD
2025-03-18 09:15 am,  SHRIRAMFIN
2025-03-18 09:15 am,  TATAPOWER
2025-03-18 09:15 am,  TMPV
2025-03-18 09:15 am,  TRENT
2025-03-18 09:15 am,  VBL
2025-03-18 09:15 am,  VOLTAS
2025-03-19 09:15 am,  ABCAPITAL
2025-03-19 09:15 am,  ADANIENT
2025-03-19 09:15 am,  ADANIPORTS
2025-03-19 09:15 am,  ANGELONE
2025-03-19 09:15 am,  BAJFINANCE
2025-03-19 09:15 am,  BANKBARODA
2025-03-19 09:15 am,  BANKINDIA
2025-03-19 09:15 am,  BPCL
2025-03-19 09:15 am,  CAMS
2025-03-19 09:15 am,  CANBK
2025-03-19 09:15 am,  CGPOWER
2025-03-19 09:15 am,  DELHIVERY
2025-03-19 09:15 am,  ETERNAL
2025-03-19 09:15 am,  GODREJPROP
2025-03-19 09:15 am,  HDFCBANK
2025-03-19 09:15 am,  HDFCLIFE
2025-03-19 09:15 am,  HINDZINC
2025-03-19 09:15 am,  INDHOTEL
2025-03-19 09:15 am,  KFINTECH
2025-03-19 09:15 am,  KOTAKBANK
2025-03-19 09:15 am,  LICI
2025-03-19 09:15 am,  LT
2025-03-19 09:15 am,  LTF
2025-03-19 09:15 am,  MAXHEALTH
2025-03-19 09:15 am,  MAZDOCK
2025-03-19 09:15 am,  NBCC
2025-03-19 09:15 am,  NHPC
2025-03-19 09:15 am,  NTPC
2025-03-19 09:15 am,  NUVAMA
2025-03-19 09:15 am,  ONGC
2025-03-19 09:15 am,  PETRONET
2025-03-19 09:15 am,  POLICYBZR
2025-03-19 09:15 am,  PPLPHARMA
2025-03-19 09:15 am,  RBLBANK
2025-03-19 09:15 am,  SBIN
2025-03-19 09:15 am,  SUZLON
2025-03-19 09:15 am,  TATAPOWER
2025-03-19 09:15 am,  TATASTEEL
2025-03-19 09:15 am,  UNIONBANK
2025-03-19 09:15 am,  UPL
