Stock|Date|BuyPrice|sl|tsl|target|high|Points|Points %|status|tslStatus|triggerTime|exitTime|pattern|strategy
UNIPARTS|2025-10-15T09:15:00+05:30|511.5|500|523|562.65|527.15|11.5|2.24828934506354|Profit|SL hit|2025-10-15T09:31:00+05:30|2025-10-15T09:46:00+05:30|No15mData|HCB Buy
HINDPETRO|2026-02-04T09:15:00+05:30|460.65|450.3|471|506.715|473.6|10.35|2.2468251383914|Profit|SL hit|2026-02-04T09:30:00+05:30|2026-02-05T09:17:00+05:30|No15mData|HCB Buy
HINDPETRO|2026-02-04T09:15:00+05:30|460.65|450.3|471|506.715|473.6|10.35|2.2468251383914|Profit|SL hit|2026-02-04T09:30:00+05:30|2026-02-05T09:17:00+05:30|No15mData|Hourly Support Buy
JAMNAAUTO|2026-02-01T09:15:00+05:30|124.86|123.5|127.63|137.346|128.99|2.77000000000001|2.21848470286722|Profit|SL hit|2026-02-01T09:46:00+05:30|2026-02-01T10:32:00+05:30|No15mData|HCB Buy
GRMOVER|2025-11-25T15:00:00+05:30|155.17|153.83|158.59|170.687|159.93|3.42000000000004|2.2040342849778|Profit|SL hit|2025-11-25T15:28:00+05:30|2025-11-26T09:15:00+05:30|-|Hourly Support Buy
VEDL|2026-01-14T09:15:00+05:30|656.6|642.15|671.05|722.26|679.45|14.45|2.20073103868414|Profit|SL hit|2026-01-14T09:30:00+05:30|2026-01-14T12:07:00+05:30|No15mData|HCB Buy
INDUSINDBK|2025-11-12T09:15:00+05:30|845.5|827|864|930.05|873|18.5|2.18805440567711|Profit|SL hit|2025-11-12T09:32:00+05:30|2025-11-12T13:11:00+05:30|No15mData|HCB Buy
ITI|2025-11-27T09:15:00+05:30|315.8|308.9|322.7|347.38|324.55|6.90000000000003|2.18492716909437|Profit|SL hit|2025-11-27T09:31:00+05:30|2025-11-27T09:36:00+05:30|No15mData|HCB Buy
MICEL|2025-10-03T09:15:00+05:30|59.47|57.74|60.7675|65.417|61.25|1.2975|2.18177232217925|Profit|SL hit|2025-10-03T09:53:00+05:30|2025-10-03T11:06:00+05:30|StrongBullish|Hourly Support Buy
AUROPHARMA|2026-02-25T09:15:00+05:30|1173.4|1162.4|1199|1290.74|1210|25.5999999999999|2.1816942219192|Profit|SL hit|2026-02-25T09:30:00+05:30|2026-02-25T13:29:00+05:30|No15mData|HCB Buy
JAYNECOIND|2025-12-24T09:15:00+05:30|78.6|77.32|80.31|86.46|81.59|1.71000000000001|2.17557251908398|Profit|SL hit|2025-12-24T09:42:00+05:30|2025-12-24T10:59:00+05:30|No15mData|HCB Buy
HINDZINC|2026-01-23T09:15:00+05:30|703.35|688.05|718.65|773.685|733|15.3000000000001|2.17530390275113|Profit|SL hit|2026-01-23T09:30:00+05:30|2026-01-27T09:16:00+05:30|No15mData|HCB Buy
DBL|2025-10-30T09:15:00+05:30|494.9|484.15|505.65|544.39|509.2|10.75|2.17215599110932|Profit|SL hit|2025-10-30T09:30:00+05:30|2025-10-30T09:35:00+05:30|No15mData|HCB Buy
KALYANKJIL|2026-01-07T09:15:00+05:30|513.85|502.75|524.95|565.235|535|11.1|2.16016347183031|Profit|SL hit|2026-01-07T09:57:00+05:30|2026-01-07T10:14:00+05:30|No15mData|HCB Buy
KALYANKJIL|2026-01-07T09:15:00+05:30|513.85|502.75|524.95|565.235|535|11.1|2.16016347183031|Profit|SL hit|2026-01-07T09:57:00+05:30|2026-01-07T10:14:00+05:30|No15mData|Hourly Support Buy
MRPL|2025-10-30T09:15:00+05:30|161.23|158.14|164.71|177.353|167.8|3.48000000000002|2.15840724430938|Profit|SL hit|2025-10-30T09:30:00+05:30|2025-10-30T09:57:00+05:30|No15mData|HCB Buy
IDFCFIRSTB|2025-10-20T09:15:00+05:30|74.2|72.61|75.79|81.62|76.85|1.59|2.14285714285715|Profit|SL hit|2025-10-20T09:57:00+05:30|2025-10-20T12:14:00+05:30|ShootingStar,InvertedHammer,BullKicker,RisingWindow|HCB Buy
NETWEB|2025-10-28T09:15:00+05:30|4026|3911|4112.25|4428.6|4159|86.25|2.14232488822653|Profit|SL hit|2025-10-28T09:30:00+05:30|2025-10-28T11:01:00+05:30|BullBeltHold,StrongBullish,BullKicker,RisingWindow|HCB Buy
MRPL|2025-10-27T09:30:00+05:30|148.71|145.53|151.89|163.581|152.9|3.18000000000001|2.13839015533589|Profit|SL hit|2025-10-27T09:53:00+05:30|2025-10-27T10:28:00+05:30|-|Hourly Support Buy
NETWEB|2025-10-20T09:15:00+05:30|3911.4|3800.1|3994.875|4302.54|4048.4|83.4749999999999|2.13414634146341|Profit|SL hit|2025-10-20T09:33:00+05:30|2025-10-20T09:47:00+05:30|BullKicker,RisingWindow|Hourly Support Buy
SBISILVER|2026-01-06T09:15:00+05:30|237.22|233.5|242.28|260.942|246|5.06|2.13304105893264|Profit|SL hit|2026-01-06T09:42:00+05:30|2026-01-07T09:26:00+05:30|StrongBullish,RisingWindow|HCB Buy
ARVIND|2025-10-23T09:15:00+05:30|322|312.85|328.8625|354.2|333|6.86249999999995|2.13121118012421|Profit|SL hit|2025-10-23T09:42:00+05:30|2025-10-23T09:51:00+05:30|No15mData|HCB Buy
SPANDANA|2025-09-10T09:45:00+05:30|261.16|256|266.72|287.276|271.88|5.55999999999995|2.12896308776227|Profit|SL hit|2025-09-10T10:00:00+05:30|2025-09-10T10:22:00+05:30|Doji,SpinningTop,LongLeggedDoji|Hourly Support Buy
IDBI|2025-09-10T09:45:00+05:30|93.25|92.28|95.23|102.575|96.2|1.98|2.12332439678285|Profit|SL hit|2025-09-10T10:06:00+05:30|2025-09-10T10:21:00+05:30|-|Hourly Support Buy
MIDHANI|2026-01-02T09:15:00+05:30|346.7|340.05|354.05|381.37|360.7|7.35000000000002|2.11998846264783|Profit|SL hit|2026-01-02T09:32:00+05:30|2026-01-02T13:12:00+05:30|StrongBullish|HCB Buy
BAJFINANCE|2026-02-12T09:15:00+05:30|972.45|965|993.05|1069.695|1000.5|20.5999999999999|2.11836084117434|Profit|SL hit|2026-02-12T09:33:00+05:30|2026-02-12T14:44:00+05:30|No15mData|HCB Buy
HBLENGINE|2026-01-05T09:15:00+05:30|946.8|928.75|966.85|1041.48|984.9|20.0500000000001|2.11765948457964|Profit|SL hit|2026-01-05T09:30:00+05:30|2026-01-05T13:27:00+05:30|RisingWindow,BullMatHold,ThreeOutsideUp|HCB Buy
HBLENGINE|2026-01-05T09:15:00+05:30|946.8|928.75|966.85|1041.48|984.9|20.0500000000001|2.11765948457964|Profit|SL hit|2026-01-05T09:30:00+05:30|2026-01-05T13:27:00+05:30|RisingWindow,BullMatHold,ThreeOutsideUp|Hourly Support Buy
TDPOWERSYS|2025-10-29T09:15:00+05:30|659|645.1|672.9|724.9|679|13.9|2.1092564491654|Profit|SL hit|2025-10-29T09:32:00+05:30|2025-10-29T11:36:00+05:30|No15mData|HCB Buy
GMDCLTD|2026-03-20T09:15:00+05:30|550.6|539|562.2|605.66|566.5|11.6|2.10679258990193|Profit|SL hit|2026-03-20T09:30:00+05:30|2026-03-20T09:45:00+05:30|StrongBullish,BullKicker,RisingWindow,MorningStar|HCB Buy
SBISILVER|2025-11-18T15:15:00+05:30|150.8|150.02|153.97|165.88|154.75|3.16999999999999|2.10212201591511|Profit|SL hit|2025-11-19T09:15:00+05:30|2025-11-20T09:15:00+05:30|-|Hourly Support Buy
ARSSBL|2025-12-22T09:15:00+05:30|608.45|591.4|621.2375|669.295|628|12.7875|2.10165173802285|Profit|SL hit|2025-12-22T09:45:00+05:30|2025-12-22T10:02:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
RITES|2025-12-26T09:15:00+05:30|246|240.85|251.15|270.6|253.89|5.15000000000001|2.09349593495935|Profit|SL hit|2025-12-26T09:30:00+05:30|2025-12-26T09:43:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
TATASTEEL|2026-01-14T09:15:00+05:30|184.4|181.66|188.26|202.84|191|3.85999999999999|2.09327548806941|Profit|SL hit|2026-01-14T09:33:00+05:30|2026-01-16T13:41:00+05:30|No15mData|HCB Buy
INOXWIND|2026-02-09T09:15:00+05:30|108.72|106.45|110.99|119.592|112.2|2.27|2.08793230316409|Profit|SL hit|2026-02-09T09:50:00+05:30|2026-02-09T14:08:00+05:30|StrongBullish,BullEngulf|HCB Buy
SILVERADD|2025-09-11T15:15:00+05:30|120.78|120.25|123.3|132.858|123.83|2.52|2.08643815201192|Profit|SL hit|2025-09-12T09:15:00+05:30|2025-09-12T09:37:00+05:30|VeryBullish|Hourly Support Buy
STLTECH|2026-03-05T09:15:00+05:30|174.04|169.2|177.67|191.444|179.86|3.63|2.08572741898414|Profit|SL hit|2026-03-05T09:45:00+05:30|2026-03-05T10:11:00+05:30|No15mData|HCB Buy
SARDAEN|2025-10-29T09:15:00+05:30|558.8|547.15|570.45|614.68|573.8|11.65|2.0848246241947|Profit|SL hit|2025-10-29T09:30:00+05:30|2025-10-29T09:43:00+05:30|No15mData|HCB Buy
SARDAEN|2025-10-29T09:15:00+05:30|558.8|547.15|570.45|614.68|573.8|11.65|2.0848246241947|Profit|SL hit|2025-10-29T09:30:00+05:30|2025-10-29T09:43:00+05:30|No15mData|Hourly Support Buy
SMCGLOBAL|2025-12-22T15:00:00+05:30|86.35|84.7|88.15|94.985|89.8|1.80000000000001|2.08453966415751|Profit|SL hit|2025-12-22T15:21:00+05:30|2025-12-23T09:30:00+05:30|-|Hourly Support Buy
SANGHVIMOV|2025-09-12T15:15:00+05:30|364.95|361|372.55|401.445|376.5|7.60000000000002|2.08247705165092|Profit|SL hit|2025-09-15T09:15:00+05:30|2025-09-15T09:19:00+05:30|-|Hourly Support Buy
TEXRAIL|2025-12-22T09:15:00+05:30|133.26|130.49|136.03|146.586|137.4|2.76999999999998|2.07864325378957|Profit|SL hit|2025-12-22T10:01:00+05:30|2025-12-22T10:07:00+05:30|BullKicker,RisingWindow|HCB Buy
GOLDADD|2026-02-06T15:15:00+05:30|148.8|146.05|151.89|163.68|154.64|3.08999999999998|2.07661290322579|Profit|SL hit|2026-02-09T09:15:00+05:30|2026-02-11T09:16:00+05:30|VeryBullish|Hourly Support Buy
PWL|2026-02-02T15:15:00+05:30|119.48|117|121.96|131.428|123.54|2.48|2.07566119852695|Profit|SL hit|2026-02-03T09:15:00+05:30|2026-02-04T10:23:00+05:30|-|Hourly Support Buy
NATIONALUM|2025-12-26T09:15:00+05:30|299.75|296.5|305.95|329.725|309.2|6.19999999999999|2.06839032527106|Profit|SL hit|2025-12-26T09:35:00+05:30|2025-12-26T12:30:00+05:30|BullKicker,RisingWindow|HCB Buy
INOXWIND|2026-02-04T09:15:00+05:30|106.86|104.65|109.07|117.546|110.89|2.20999999999999|2.06812652068126|Profit|SL hit|2026-02-04T09:46:00+05:30|2026-02-05T09:25:00+05:30|No15mData|HCB Buy
MBEL|2025-10-17T09:15:00+05:30|443|430.85|452.1125|487.3|455.85|9.11249999999996|2.05699774266365|Profit|SL hit|2025-10-17T09:34:00+05:30|2025-10-23T09:16:00+05:30|BullKicker,RisingWindow|HCB Buy
GENUSPOWER|2025-11-03T09:15:00+05:30|345.4|338.3|352.5|379.94|354.55|7.09999999999997|2.05558772437752|Profit|SL hit|2025-11-03T09:30:00+05:30|2025-11-03T11:56:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
PETRONET|2026-02-18T09:15:00+05:30|299.65|296.6|305.8|329.615|308.85|6.15000000000009|2.0523944602036|Profit|SL hit|2026-02-18T10:05:00+05:30|2026-02-18T14:23:00+05:30|No15mData|HCB Buy
KARURVYSYA|2025-10-06T09:15:00+05:30|213.9|209.51|218.29|235.29|219.55|4.39000000000002|2.05236091631604|Profit|SL hit|2025-10-06T09:32:00+05:30|2025-10-06T12:10:00+05:30|No15mData|HCB Buy
MAXHEALTH|2025-11-19T09:15:00+05:30|1128|1104.9|1151.1|1240.8|1170.4|23.0999999999999|2.04787234042552|Profit|SL hit|2025-11-19T09:32:00+05:30|2025-11-20T11:13:00+05:30|No15mData|HCB Buy
